"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-27",,"66","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-28",,"65","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-29",,"63","48",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-04-30",,"62","47",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-01",,"65","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-02",,"64","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-03",,"62","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-04",,"69","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-05",,"61","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-06",,"64","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-07",,"70","48",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-08",,"66","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-09",,"67","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-10",,"67","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-11",,"73","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-12",,"72","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-13",,"65","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-14",,"63","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-15",,"64","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-16",,"65","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-17",,"64","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-18",,"62","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-19",,"62","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-20",,"62","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-21",,"64","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-22",,"58","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-23",,"62","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-24",,"61","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-25",,"64","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-26",,"64","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-27",,"71","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-28",,"81","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-29",,"72","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-30",,"61","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-05-31",,"64","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-01",,"73","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-02",,"84","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-03",,"75","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-04",,"68","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-05",,"65","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-06",,"63","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-07",,"65","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-08",,"68","50",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-09",,"68","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-10",,"70","49",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-11",,"72","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-12",,"75","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-13",,"73","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-14",,"70","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-15",,"64","56",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-16",,"69","56",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-17",,"70","56",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-18",,"69","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-19",,"66","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-20",,"65","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-21",,"69","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-22",,"80","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-23",,"86","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-24",,"76","57",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-25",,"70","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-26",,"68","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-27",,"64","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-28",,"67","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-29",,"74","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-06-30",,"80","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-01",,"67","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-02",,"67","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-03",,"71","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-04",,"70","56",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-05",,"74","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-06",,"80","60",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-07",,"72","56",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-08",,"72","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-09",,"76","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-10",,"76","57",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-11",,"73","57",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-12",,"71","57",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-13",,"74","59",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-14",,"69","57",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-15",,"69","56",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-16",,"69","56",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-17",,"69","56",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-18",,"70","57",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-19",,"71","57",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-20",,"76","57",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-21",,"72","60",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-22",,"72","59",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-23",,"71","58",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-24",,"71","58",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-25",,"73","57",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-26",,"66","56",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-27",,"66","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-28",,"67","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-29",,"66","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-30",,"67","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-07-31",,"66","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-01",,"65","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-02",,"67","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-03",,"73","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-04",,"72","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-05",,"70","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-06",,"74","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-07",,"65","53",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-08",,"71","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-09",,"80","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-10",,"71","52",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-11",,"74","56",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-12",,"71","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-13",,"66","57",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-14",,"67","58",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-15",,"71","61",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-16",,"71","58",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-17",,"74","55",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-18",,"74","51",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-19",,"67","54",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-20",,"67","57",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-21",,"68","57",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-22",,"71","60",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2018-08-23",,"69","61",
